date,new_cases,recoveries,in_icu,death,text,source_url
2020-09-12,255,152,36,6,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  السبت 12 سبتمبر 2020 و هي
🔴 255 حالة جديدة 
🔴 152حالة تماثلت للشفاء 
🔴 36 مريض متواجدون في العناية المركزة
🔴 06 وفيات. https://t.co/1YGv7Pfhp1",https://twitter.com/Sante_Gouv_dz/status/1304813280251318272
2020-09-13,247,162,29,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاحد 13 سبتمبر 2020 و هي
🔴 247 حالة جديدة 
🔴 162 حالة تماثلت للشفاء 
🔴 29 مريض متواجدون في العناية المركزة
🔴 07 وفيات. https://t.co/X9kc9whJvW",https://twitter.com/Sante_Gouv_dz/status/1305174576490577920
2020-09-14,242,167,27,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاثنين 14 سبتمبر 2020 و هي
🔴 242 حالة جديدة 
🔴 167حالة تماثلت للشفاء 
🔴 27 مريض متواجدون في العناية المركزة
🔴 08 وفيات. https://t.co/BbhRTY19ea",https://twitter.com/Sante_Gouv_dz/status/1305539337359110146
2020-09-15,238,154,31,12,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الثلاثاء 15 سبتمبر 2020 و هي
🔴 238 حالة جديدة 
🔴 154 حالة تماثلت للشفاء 
🔴 31  مريض متواجدون في العناية المركزة
🔴 12 وفيات. https://t.co/WrTVaTGMfi",https://twitter.com/Sante_Gouv_dz/status/1305901398178045952
2020-09-16,232,159,31,13,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم  الاربعاء 16 سبتمبر 2020 و هي
🔴 232 حالة جديدة 
🔴 159 حالة تماثلت للشفاء 
🔴 31 مريض متواجدون في العناية المركزة
🔴13 وفيات. https://t.co/bZnNQ6jbRI",https://twitter.com/Sante_Gouv_dz/status/1306267269073375234
2020-09-17,228,158,32,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس 17 سبتمبر 2020 و هي
🔴 228 حالة جديدة 
🔴 158 حالة تماثلت للشفاء 
🔴 32 مريض متواجدون في العناية المركزة
🔴 09  وفيات. https://t.co/UN00McM53S",https://twitter.com/Sante_Gouv_dz/status/1306631307989049356
2020-09-18,219,143,27,5,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة 18 سبتمبر 2020 و هي
🔴 219 حالة جديدة 
🔴 143 حالة تماثلت للشفاء 
🔴 27 مريض متواجدون في العناية المركزة
🔴  05 وفيات. https://t.co/OffkpFnr5z",https://twitter.com/Sante_Gouv_dz/status/1306989969731448832
2020-09-19,210,105,32,6,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 19 سبتمبر 2020 و هي
🔴  210 حالة جديدة 
🔴  105 حالة تماثلت للشفاء 
🔴  32 مريض متواجدون في العناية المركزة
🔴  06 وفيات. https://t.co/6bqtaDzzTv",https://twitter.com/Sante_Gouv_dz/status/1307354219079442432
2020-09-20,203,124,31,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاحد  20 سبتمبر 2020 و هي
 🔴 203 حالة جديدة 
 🔴 124 حالة تماثلت للشفاء 
 🔴 31 مريض متواجدون في العناية المركزة
 🔴 07 وفيات. https://t.co/kvioPqiAD2",https://twitter.com/Sante_Gouv_dz/status/1307718083256123392
2020-09-21,197,133,29,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين   21 سبتمبر 2020 و هي
🔴 197 حالة جديدة 
🔴 133 حالة تماثلت للشفاء 
🔴 29 مريض متواجدون في العناية المركزة
🔴 07 وفيات. https://t.co/wYYpquEOgj",https://twitter.com/Sante_Gouv_dz/status/1308084100071391232
2020-09-22,191,127,34,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الثلاثاء 22 سبتمبر 2020 و هي
🔴 191 حالة جديدة 
🔴 127 حالة تماثلت للشفاء 
🔴 34 مريض متواجدون في العناية المركزة
🔴 10 وفيات. https://t.co/gKQsSM4nFv",https://twitter.com/Sante_Gouv_dz/status/1308445399565336578
2020-09-23,186,121,25,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الأربعاء 23 سبتمبر 2020 و هي
🔴 186 حالة جديدة 
🔴 121 حالة تماثلت للشفاء 
🔴 25 مريض متواجدون في العناية المركزة
🔴 09 وفيات. https://t.co/B0NNYtBNKX",https://twitter.com/Sante_Gouv_dz/status/1308806046815858690
2020-09-24,179,116,27,5,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس  24 سبتمبر 2020 و هي
🔴 179 حالة جديدة 
🔴 116 حالة تماثلت للشفاء 
🔴 27 مريض متواجدون في العناية المركزة
🔴 05 وفيات. https://t.co/URxBI8ZG2t",https://twitter.com/Sante_Gouv_dz/status/1309168012193398785
2020-09-25,175,110,25,4,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة  25 سبتمبر 2020 و هي
🔴 175 حالة جديدة 
🔴 110 حالة تماثلت للشفاء 
🔴 25  مريض متواجدون في العناية المركزة
🔴 04 وفيات. https://t.co/5s80XQoabZ",https://twitter.com/Sante_Gouv_dz/status/1309534434153160705
2020-09-26,160,102,25,4,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 26 سبتمبر 2020 و هي
🔴 160 حالة جديدة 
🔴 102 حالة تماثلت للشفاء 
🔴 25 مريض متواجدون في العناية المركزة
🔴 04 وفيات. https://t.co/D4PEd0OxBN",https://twitter.com/Sante_Gouv_dz/status/1309894940407799809
2020-09-27,153,104,22,3,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الأحد 27 سبتمبر 2020 و هي
🔴 153 حالة جديدة 
🔴 104 حالة تماثلت للشفاء 
🔴 22 مريض متواجدون في العناية المركزة
🔴 03 وفيات. https://t.co/1uagg9WshP",https://twitter.com/Sante_Gouv_dz/status/1311299789611556866
2020-09-28,146,102,25,5,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الإثنين 28 سبتمبر 2020 و هي
🔴  146 حالة جديدة 
🔴 102 حالة تماثلت للشفاء 
🔴 25 مريض متواجدون في العناية المركزة
🔴 05 وفيات. https://t.co/A0mNphVXKs",https://twitter.com/Sante_Gouv_dz/status/1311304794473197568
2020-09-29,155,101,23,7,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الثلاثاء 29 سبتمبر 2020 و هي
🔴 155 حالة جديدة 
🔴 101 حالة تماثلت للشفاء 
🔴 23 مريض متواجدون في العناية المركزة
🔴 07 وفيات. https://t.co/pkERsuSP0G",https://twitter.com/Sante_Gouv_dz/status/1311305765311971330
